Luminal_Macrophages,Type 2 alveolar,Fibroblasts,Dendritic cells
0.2925615,0.32933563,0.20848662,0.16961628
0.38943422,0.27448285,0.024852678,0.3112302
0.3706586,0.16285443,0.39305332,0.07343364
0.22296964,0.31587413,0.097803876,0.36335242
0.21907361,0.2423402,0.23851867,0.3000675
0.24338858,0.45417264,0.19935443,0.10308435
0.24572843,0.34791362,0.30604923,0.10030869
0.23334858,0.26382494,0.29739818,0.20542836
0.48026443,0.28862873,0.0268949,0.20421189
0.38275746,0.23721644,0.25708193,0.122944176
0.01981762,0.5568878,0.36256486,0.06072973
0.100990094,0.17146997,0.49788928,0.22965057
0.11104722,0.32368436,0.37617028,0.18909816
0.3255101,0.15791374,0.24937767,0.2671985
0.30090475,0.32234147,0.15303706,0.2237167
0.3738003,0.05014152,0.0304542,0.54560393
0.2773691,0.22657219,0.46505278,0.031005928
0.15388277,0.44586712,0.24195278,0.15829733
0.23425893,0.39269325,0.15643413,0.21661371
0.36115703,0.06025456,0.15280509,0.4257834
0.27342904,0.15868467,0.24449863,0.3233877
0.23779984,0.2567612,0.027557526,0.4778814
0.14981537,0.37783208,0.26213852,0.21021403
0.20812207,0.461434,0.26186457,0.06857933
0.28870362,0.15968123,0.27937123,0.2722439
0.2618724,0.25387222,0.18685567,0.2973997
0.40542734,0.22775857,0.18746753,0.17934647
0.2143934,0.2786722,0.35444835,0.15248603
0.1825273,0.20692013,0.355594,0.25495854
0.35223264,0.25654835,0.09062421,0.3005948
0.05752993,0.3284662,0.45440358,0.15960035
0.1473796,0.2992145,0.3280849,0.22532101
0.3432355,0.15307876,0.19022909,0.31345662
0.45328137,0.2018171,0.17783527,0.1670663
0.26563948,0.38478574,0.12972686,0.21984798
0.38655955,0.39687696,0.13988867,0.07667481
0.24253218,0.09164415,0.38680646,0.27901724
0.22051412,0.052634284,0.5173472,0.20950443
0.5191496,0.12991269,0.060908888,0.2900288
0.48468724,0.19224654,0.23945372,0.0836125
0.34457654,0.21274193,0.15695201,0.28572953
0.32026285,0.04908672,0.35818964,0.27246076
0.21226333,0.4085623,0.10804565,0.27112862
0.21464354,0.20202598,0.23875314,0.3445773
0.049043402,0.4955273,0.31501952,0.1404098
0.37045485,0.23089096,0.23567903,0.16297509
0.46057898,0.19120209,0.02845701,0.31976184
0.07826834,0.2452568,0.34822962,0.32824525
0.22361001,0.23810656,0.3366602,0.20162328
0.37956843,0.29408506,0.057938173,0.2684084
0.31210026,0.14520887,0.27613926,0.26655158
0.087204255,0.6042428,0.024335418,0.28421748
0.37033656,0.34290951,0.050549846,0.2362041
0.19981983,0.3710221,0.050325587,0.3788325
0.16222624,0.15045117,0.3719636,0.31535906
0.06266273,0.37631235,0.38194388,0.17908107
0.30951568,0.023172773,0.2913273,0.37598422
0.30265048,0.29564962,0.24955173,0.15214823
0.024745077,0.46583512,0.19854423,0.31087556
0.06638196,0.2030683,0.59435594,0.13619384
0.094031855,0.37327123,0.24379869,0.28889826
0.5548726,0.2598378,0.09076555,0.09452402
0.05760592,0.6019491,0.056929424,0.2835155
0.34754306,0.043053232,0.48039097,0.12901275
0.31497967,0.25782558,0.10349427,0.3237005
0.23836406,0.27650702,0.14087774,0.34425122
0.19479938,0.33214328,0.15522553,0.31783178
0.31187183,0.35679704,0.20802437,0.123306826
0.20857564,0.094538,0.6071639,0.08972241
0.07252753,0.41996843,0.39835197,0.109152086
0.3037671,0.3665427,0.1960455,0.13364473
0.3775704,0.2729496,0.15646972,0.19301029
0.2081201,0.32797948,0.30428025,0.15962018
0.08460469,0.09700267,0.24565165,0.572741
0.35553044,0.10040983,0.10915444,0.4349053
0.32024765,0.37762418,0.24110316,0.06102502
0.30459675,0.41284466,0.2068967,0.07566187
0.28740737,0.19802459,0.24863108,0.265937
0.06762782,0.81056935,0.062006187,0.05979664
0.20374842,0.24145676,0.2337201,0.32107475
0.24027042,0.1917427,0.4878336,0.08015333
0.35186598,0.04361355,0.3790691,0.22545138
0.16584831,0.090249084,0.24856153,0.49534112
0.27923802,0.3539031,0.29935482,0.06750403
0.38030973,0.21184772,0.2972621,0.11058046
0.08438129,0.4152852,0.2105754,0.28975815
0.473522,0.099597454,0.15511754,0.27176297
0.044903923,0.19626273,0.34731734,0.41151595
0.18598184,0.39949086,0.21088968,0.20363756
0.4569426,0.2527654,0.20829685,0.08199518
0.16904525,0.25416616,0.2737791,0.30300945
0.21244979,0.44760528,0.046735886,0.2932091
0.17104484,0.24176763,0.33807212,0.24911541
0.30621365,0.26043257,0.3219937,0.11136007
0.37448707,0.047027368,0.24344231,0.33504322
0.17816652,0.115423694,0.30059242,0.40581733
0.35819718,0.4148401,0.13790883,0.08905391
0.15289702,0.38444653,0.1550196,0.3076369
0.10324146,0.29293108,0.2925272,0.31130022
0.07015857,0.41076288,0.051231418,0.46784705
0.42477143,0.048339445,0.06097,0.4659191
0.24555175,0.26492593,0.40272266,0.08679975
0.4257552,0.18705007,0.05755351,0.32964122
0.28050375,0.28964293,0.15976733,0.270086
0.059055313,0.39083678,0.295756,0.25435194
0.17398657,0.43278363,0.18922623,0.2040036
0.18668789,0.056592334,0.3453437,0.41137606
0.34875605,0.4237588,0.18751614,0.039968997
0.20690095,0.2107492,0.34252453,0.23982531
0.22723217,0.13575049,0.291025,0.34599233
0.3413635,0.08379734,0.40325046,0.17158873
0.43819967,0.24972941,0.15955764,0.15251325
0.39683232,0.10533573,0.2850969,0.21273503
0.14747626,0.28040633,0.27379635,0.2983211
0.19196661,0.20202725,0.19852105,0.40748513
0.3437864,0.2105861,0.14280733,0.30282024
0.18821494,0.4050496,0.16211218,0.24462335
0.3150531,0.21633215,0.14892207,0.31969264
0.31875417,0.42713106,0.057286736,0.1968281
0.23909648,0.24942225,0.18941551,0.3220658
0.2755447,0.23212095,0.24171188,0.25062245
0.0664553,0.47192183,0.059129663,0.4024932
0.23567566,0.08650155,0.28562367,0.39219916
0.06318332,0.42181093,0.32842132,0.18658447
0.15800408,0.3108489,0.33721036,0.19393665
0.318759,0.2675258,0.17746828,0.23624697
0.17070147,0.13846391,0.39167875,0.29915586
0.1972308,0.21489395,0.31058574,0.27728948
0.18040803,0.34807193,0.23964418,0.23187588
0.26736307,0.3290123,0.23508053,0.16854405
0.32618418,0.47981262,0.048542492,0.14546074
0.09092646,0.5132936,0.059507623,0.33627227
0.067560725,0.4186561,0.45693836,0.056844775
0.09758275,0.027501952,0.5016372,0.37327808
0.23350796,0.19286159,0.24606907,0.3275614
0.3188509,0.22803965,0.16200288,0.29110655
0.091266595,0.24976039,0.35553995,0.30343312
0.2780717,0.024023915,0.19558279,0.5023216
0.21451601,0.30086696,0.2943203,0.19029678
0.034313235,0.35626227,0.1366142,0.47281024
0.24139765,0.24622904,0.29214433,0.22022901
0.24048737,0.04600537,0.056755487,0.6567518
0.29231587,0.26734063,0.30308524,0.13725823
0.21910073,0.16419198,0.45490444,0.1618028
0.25761577,0.35534814,0.20293455,0.18410154
0.31817463,0.050133895,0.33754838,0.2941431
0.08385627,0.35194302,0.24913985,0.31506088
0.4137964,0.13903934,0.11774259,0.3294217
0.20717244,0.2683891,0.10831586,0.41612256
0.28068188,0.34547865,0.05322135,0.32061812
0.25856626,0.24408573,0.20098536,0.29636264
0.35404482,0.17894207,0.19875026,0.26826277
0.49260536,0.049447488,0.20153062,0.2564165
0.28248045,0.057248827,0.2866503,0.37362036
0.3394002,0.30795166,0.24580616,0.10684195
0.02274453,0.44281295,0.46845162,0.06599088
0.103020735,0.2667427,0.19612901,0.43410748
0.073179044,0.20407222,0.34689143,0.3758573
0.27098873,0.28213942,0.13200635,0.31486556
0.029546343,0.31063876,0.18994549,0.46986938
0.38668805,0.25682086,0.107154764,0.24933627
0.06007794,0.43684182,0.3457163,0.15736394
0.28831232,0.34678888,0.17243764,0.19246112
0.2379989,0.32613555,0.20414513,0.23172042
0.16176246,0.34476152,0.0463985,0.44707748
0.2600306,0.25406617,0.24267727,0.24322599
0.3148629,0.30877075,0.20065685,0.17570955
0.14887834,0.325128,0.19877645,0.32721722
0.05237716,0.266327,0.40290323,0.27839258
0.06388546,0.15794423,0.39746422,0.380706
0.18908496,0.42912734,0.25086844,0.13091926
0.3154626,0.20205894,0.3115472,0.1709313
0.457603,0.056691997,0.1057423,0.37996277
0.2873705,0.31270334,0.20655462,0.19337153
0.37024707,0.3024902,0.051641926,0.2756208
0.5115587,0.04363721,0.031230455,0.41357362
0.34462178,0.024747163,0.3250696,0.3055615
0.31254646,0.15190122,0.29146966,0.2440827
0.3064414,0.13994293,0.3413992,0.21221642
0.3615722,0.2861485,0.094791695,0.2574876
0.44302717,0.13389763,0.25644228,0.16663294
